customer_id,first_name,last_name,birth_date,client_group,country,user_agent,phone_number,email_provider,postal_code,street_address,credit_card_number,credit_card_provider,iban,customer_since
151,Zoey,Jansse,1954-07-14,Physician,Netherlands,Mozilla/5.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/3.1),057 3268174,gmail.com,3453 CD,Jessesingel 092,4234913545964337852,VISA 19 digit,NL07QTND3757675521,2014-04-02
92,Kristen,Hoffman,1973-01-23,Pharmacist,United States,Mozilla/5.0 (Windows NT 5.2; as-IN; rv:1.9.2.20) Gecko/2011-09-21 19:32:27 Firefox/3.8,001-163-449-9128x15545,hotmail.com,08714,5402 Rogers Ford Apt. 658,4229381486053797,JCB 16 digit,GB32GOQD73595599061566,2010-09-02
23,Janet,Hodgson,1988-08-05,Physician,Great Britain,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/536.0 (KHTML, like Gecko) Chrome/61.0.844.0 Safari/536.0",(0191) 496 0144,gmail.com,IM5R 9LW,78 Jeremy spur,4369738718908744,JCB 16 digit,GB83EOKU09925356128355,2011-12-01
446,Susana,Vélez,1959-03-22,Pharmacist,Spain,Mozilla/5.0 (X11; Linux x86_64; rv:1.9.5.20) Gecko/2012-07-29 18:09:33 Firefox/13.0,+34968 52 50 24,hotmail.com,09788,Via Cándido Mate 894 Apt. 92 ,3517328815692467,VISA 16 digit,ES2870145896488648151053,2018-09-06
375,Caitlin,Parrish,1970-09-17,Specialist,Australia,"Mozilla/5.0 (iPad; CPU iPad OS 6_1_6 like Mac OS X) AppleWebKit/532.1 (KHTML, like Gecko) FxiOS/15.1n7947.0 Mobile/72O533 Safari/532.1",0382094833,yahoo.com,0980,"Suite 825
 40 Jeffrey Beach",180056187837749,American Express,GB91UMST97437818012230,2011-05-30
392,Théodore,Roy,1960-10-22,Specialist,Canada,Opera/8.45.(Windows 95; tg-TJ) Presto/2.9.183 Version/10.00,184-071-1250x505,yahoo.com,44452,067 Michel Place Apt. 446,348646538054389,VISA 13 digit,GB55ICCS70467813411914,2013-04-25
166,Tania,Urías,1971-07-28,Physician,Mexico,Mozilla/5.0 (compatible; MSIE 6.0; Windows NT 4.0; Trident/4.1),1-847-845-1507x2043,yahoo.com,90237,Viaducto Querétaro 365 463,3502111875907778,American Express,GB08RCMA78584797038242,2019-06-30
227,Gianluigi,Farinelli,1968-01-25,Physician,Italy,Mozilla/5.0 (Windows 95; sl-SI; rv:1.9.1.20) Gecko/2016-12-21 00:50:52 Firefox/3.6.18,+39 1077 55408860,yahoo.com,23100,Borgo Durante 08 Piano 6,4411538815315860,Maestro,IT89D1088653927651496187678,2004-11-01
140,Sandra,Avilés,1956-11-13,Specialist,Mexico,"Mozilla/5.0 (Macintosh; PPC Mac OS X 10_11_7) AppleWebKit/535.2 (KHTML, like Gecko) Chrome/52.0.809.0 Safari/535.2",628-518-8990x76434,gmail.com,55991,Andador Líbano 512 179,213103967925145,Mastercard,GB54LSPX29072367644417,2001-12-01
80,Clotilde,Falcón,1960-04-09,Physician,Spain,Opera/9.96.(X11; Linux i686; te-IN) Presto/2.9.174 Version/12.00,+34 721237910,gmail.com,22836,Glorieta de Artemio Carbajo 153 Puerta 6 ,6570171887441794,Diners Club / Carte Blanche,ES9413054766650176064226,2006-06-06
